State Name,TIN,StateCode
Andaman and Nicobar Islands,35,AN
Andhra Pradesh,28,AP
Andhra Pradesh New,37,AD
Arunachal Pradesh,12,AR
Assam,18,AS
Bihar,10,BH
Chandigarh,4,CH
Chattisgarh,22,CT
Dadra and Nagar Haveli,26,DN
Daman and Diu,25,DD
Delhi,7,DL
Goa,30,GA
Gujarat,24,GJ
Haryana,6,HR
Himachal Pradesh,2,HP
Jammu and Kashmir,1,JK
Jharkhand,20,JH
Karnataka,29,KA
Kerala,32,KL
Lakshadweep Islands,31,LD
Madhya Pradesh,23,MP
Maharashtra,27,MH
Manipur,14,MN
Meghalaya,17,ME
Mizoram,15,MI
Nagaland,13,NL
Odisha,21,OR
Pondicherry,34,PY
Punjab,3,PB
Rajasthan,8,RJ
Sikkim,11,SK
Tamil Nadu,33,TN
Telangana,36,TS
Tripura,16,TR
Uttar Pradesh,9,UP
Uttarakhand,5,UT
West Bengal,19,WB
